-15.0	13.258
-20.0	13.397
-25.0	13.238
-12000	13.238
1999-01-15 00:00:00	7	2
-0.0	8.965
-5.0	9.067
-10.0	9.310
-15.0	9.425
-20.0	9.664
-25.0	9.988
-12000	9.988
1999-02-15 00:00:00	7	2
-0.0	8.366
-5.0	8.621
-10.0	8.961
-15.0	9.070
-20.0	9.147
-25.0	9.548
-12000	9.548
1999-03-15 00:00:00	7	2
-0.0	9.509
-5.0	9.308
-10.0	9.216
-15.0	9.197
-20.0	9.205
-25.0	9.477
-12000	9.477
1999-04-15 00:00:00	7	2
-0.0	13.944
-5.0	13.113
-10.0	11.864
-15.0	11.321
-20.0	10.936
-25.0	10.886
-12000	10.886
1999-05-15 00:00:00	7	2
-0.0	17.678
-5.0	16.338
-10.0	14.528
-15.0	13.031
-20.0	11.911
-25.0	11.599
-12000	11.599
1999-06-15 00:00:00	7	2
-0.0	22.456
-5.0	20.881
-10.0	17.850
-15.0	14.875
-20.0	13.061
-25.0	12.096
-12000	12.096
1999-07-15 00:00:00	7	2
-0.0	24.703
-5.0	23.487
-10.0	20.951
-15.0	18.342
-20.0	16.223
-25.0	14.664
-12000	14.664
1999-08-15 00:00:00	7	2
-0.0	25.273
-5.0	24.654
-10.0	22.914
-15.0	20.520
-20.0	18.160
-25.0	16.236
-12000	16.236
1999-09-15 00:00:00	7	2
-0.0	22.317
-5.0	22.127
-10.0	21.990
-15.0	20.671
-20.0	18.061
-25.0	16.683
-12000	16.683
1999-10-15 00:00:00	7	2
-0.0	19.357
-5.0	19.626
-10.0	19.674
-15.0	19.931
-20.0	19.123
-25.0	18.341
-12000	18.341
1999-11-15 00:00:00	7	2
-0.0	15.206
-5.0	15.691
-10.0	16.086
-15.0	16.217
-20.0	16.076
-25.0	16.151
-12000	16.151
1999-12-15 00:00:00	7	2
-0.0	12.562
-5.0	12.526
-10.0	13.039
-15.0	13.258
-20.0	13.397
-25.0	13.238
-12000	13.238
2000-01-15 00:00:00	7	2
-0.0	8.965
-5.0	9.067
-10.0	9.310
-15.0	9.425
-20.0	9.664
-25.0	9.988
-12000	9.988
2000-02-15 00:00:00	7	2
-0.0	8.366
-5.0	8.621
-10.0	8.961
-15.0	9.070
-20.0	9.147
-25.0	9.548
-12000	9.548
2000-03-15 00:00:00	7	2
-0.0	9.509
-5.0	9.308
-10.0	9.216
-15.0	9.197
-20.0	9.205
-25.0	9.477
-12000	9.477
2000-04-15 00:00:00	7	2
-0.0	13.944
-5.0	13.113
-10.0	11.864
-15.0	11.321
-20.0	10.936
-25.0	10.886
-12000	10.886
2000-05-15 00:00:00	7	2
-0.0	17.678
-5.0	16.338
-10.0	14.528
-15.0	13.031
-20.0	11.911
-25.0	11.599
-12000	11.599
2000-06-15 00:00:00	7	2
-0.0	22.456
-5.0	20.881
-10.0	17.850
-15.0	14.875
-20.0	13.061
-25.0	12.096
-12000	12.096
2000-07-15 00:00:00	7	2
-0.0	24.703
-5.0	23.487
-10.0	20.951
-15.0	18.342
-20.0	16.223
-25.0	14.664
-12000	14.664
2000-08-15 00:00:00	7	2
-0.0	25.273
-5.0	24.654
-10.0	22.914
-15.0	20.520
-20.0	18.160
-25.0	16.236
-12000	16.236
2000-09-15 00:00:00	7	2
-0.0	22.317
-5.0	22.127
-10.0	21.990
-15.0	20.671
-20.0	18.061
-25.0	16.683
-12000	16.683
2000-10-15 00:00:00	7	2
-0.0	19.357
-5.0	19.626
-10.0	19.674
-15.0	19.931
-20.0	19.123
-25.0	18.341
-12000	18.341
2000-11-15 00:00:00	7	2
-0.0	15.206
-5.0	15.691
-10.0	16.086
-15.0	16.217
-20.0	16.076
-25.0	16.151
-12000	16.151
2000-12-15 00:00:00	7	2
-0.0	12.562
-5.0	12.526
-10.0	13.039
-15.0	13.258
-20.0	13.397
-25.0	13.238
-12000	13.238
2001-01-15 00:00:00	7	2
-0.0	8.965
-5.0	9.067
-10.0	9.310
-15.0	9.425
-20.0	9.664
-25.0	9.988
-12000	9.988
2001-02-15 00:00:00	7	2
-0.0	8.366
-5.0	8.621
-10.0	8.961
-15.0	9.070
-20.0	9.147
-25.0	9.548
-12000	9.548
2001-03-15 00:00:00	7	2
-0.0	9.509
-5.0	9.308
-10.0	9.216
-15.0	9.197
-20.0	9.205
-25.0	9.477
-12000	9.477
2001-04-15 00:00:00	7	2
-0.0	13.944
-5.0	13.113
-10.0	11.864
-15.0	11.321
-20.0	10.936
-25.0	10.886
-12000	10.886
2001-05-15 00:00:00	7	2
-0.0	17.678
-5.0	16.338
-10.0	14.528
-15.0	13.031
-20.0	11.911
-25.0	11.599
-12000	11.599
2001-06-15 00:00:00	7	2
-0.0	22.456
-5.0	20.881
-10.0	17.850
-15.0	14.875
-20.0	13.061
-25.0	12.096
-12000	12.096
2001-07-15 00:00:00	7	2
-0.0	24.703
-5.0	23.487
-10.0	20.951
-15.0	18.342
-20.0	16.223
-25.0	14.664
-12000	14.664
2001-08-15 00:00:00	7	2
-0.0	25.273
-5.0	24.654
-10.0	22.914
-15.0	20.520
-20.0	18.160
-25.0	16.236
-12000	16.236
2001-09-15 00:00:00	7	2
-0.0	22.317
-5.0	22.127
-10.0	21.990
-15.0	20.671
-20.0	18.061
-25.0	16.683
-12000	16.683
2001-10-15 00:00:00	7	2
-0.0	19.357
-5.0	19.626
-10.0	19.674
-15.0	19.931
-20.0	19.123
-25.0	18.341
-12000	18.341
2001-11-15 00:00:00	7	2
-0.0	15.206
-5.0	15.691
-10.0	16.086
-15.0	16.217
-20.0	16.076
-25.0	16.151
-12000	16.151
2001-12-15 00:00:00	7	2
-0.0	12.562
-5.0	12.526
-10.0	13.039
-15.0	13.258
-20.0	13.397
-25.0	13.238
-12000	13.238
2002-01-15 00:00:00	7	2
-0.0	8.965
-5.0	9.067
-10.0	9.310
-15.0	9.425
-20.0	9.664
-25.0	9.988
-12000	9.988
2002-02-15 00:00:00	7	2
-0.0	8.366
-5.0	8.621
-10.0	8.961
-15.0	9.070
-20.0	9.147
-25.0	9.548
-12000	9.548
2002-03-15 00:00:00	7	2
-0.0	9.509
-5.0	9.308
-10.0	9.216
-15.0	9.197
-20.0	9.205
-25.0	9.477
-12000	9.477
2002-04-15 00:00:00	7	2
-0.0	13.944
-5.0	13.113
-10.0	11.864
-15.0	11.321
-20.0	10.936
-25.0	10.886
-12000	10.886
2002-05-15 00:00:00	7	2
-0.0	17.678
-5.0	16.338
-10.0	14.528
-15.0	13.031
-20.0	11.911
-25.0	11.599
-12000	11.599
2002-06-15 00:00:00	7	2
-0.0	22.456
-5.0	20.881
-10.0	17.850
-15.0	14.875
-20.0	13.061
-25.0	12.096
-12000	12.096
2002-07-15 00:00:00	7	2
-0.0	24.703
-5.0	23.487
-10.0	20.951
-15.0	18.342
-20.0	16.223
-25.0	14.664
-12000	14.664
2002-08-15 00:00:00	7	2
-0.0	25.273
-5.0	24.654
-10.0	22.914
-15.0	20.520
-20.0	18.160
-25.0	16.236
-12000	16.236
2002-09-15 00:00:00	7	2
-0.0	22.317
-5.0	22.127
-10.0	21.990
-15.0	20.671
-20.0	18.061
-25.0	16.683
-12000	16.683
2002-10-15 00:00:00	7	2
-0.0	19.357
-5.0	19.626
-10.0	19.674
-15.0	19.931
-20.0	19.123
-25.0	18.341
-12000	18.341
2002-11-15 00:00:00	7	2
-0.0	15.206
-5.0	15.691
-10.0	16.086
-15.0	16.217
-20.0	16.076
-25.0	16.151
-12000	16.151
2002-12-15 00:00:00	7	2
-0.0	12.562
-5.0	12.526
-10.0	13.039
-15.0	13.258
-20.0	13.397
-25.0	13.238
-12000	13.238
2003-01-15 00:00:00	7	2
-0.0	8.965
-5.0	9.067
-10.0	9.310
-15.0	9.425
-20.0	9.664
-25.0	9.988
-12000	9.988
2003-02-15 00:00:00	7	2
-0.0	8.366
-5.0	8.621
-10.0	8.961
-15.0	9.070
-20.0	9.147
-25.0	9.548
-12000	9.548
2003-03-15 00:00:00	7	2
-0.0	9.509
-5.0	9.308
-10.0	9.216
-15.0	9.197
-20.0	9.205
-25.0	9.477
-12000	9.477
2003-04-15 00:00:00	7	2
-0.0	13.944
-5.0	13.113
-10.0	11.864
-15.0	11.321
-20.0	10.936
-25.0	10.886
-12000	10.886
2003-05-15 00:00:00	7	2
-0.0	17.678
-5.0	16.338
-10.0	14.528
-15.0	13.031
-20.0	11.911
-25.0	11.599
-12000	11.599
2003-06-15 00:00:00	7	2
-0.0	22.456
-5.0	20.881
-10.0	17.850
-15.0	14.875
-20.0	13.061
-25.0	12.096
-12000	12.096
2003-07-15 00:00:00	7	2
-0.0	24.703
-5.0	23.487
-10.0	20.951
-15.0	18.342
-20.0	16.223
-25.0	14.664
-12000	14.664
2003-08-15 00:00:00	7	2
-0.0	25.273
-5.0	24.654
-10.0	22.914
-15.0	20.520
-20.0	18.160
-25.0	16.236
-12000	16.236
2003-09-15 00:00:00	7	2
-0.0	22.317
-5.0	22.127
-10.0	21.990
-15.0	20.671
-20.0	18.061
-25.0	16.683
-12000	16.683
2003-10-15 00:00:00	7	2
-0.0	19.357
-5.0	19.626
-10.0	19.674
-15.0	19.931
-20.0	19.123
-25.0	18.341
-12000	18.341
2003-11-15 00:00:00	7	2
-0.0	15.206
-5.0	15.691
-10.0	16.086
-15.0	16.217
-20.0	16.076
-25.0	16.151
-12000	16.151
2003-12-15 00:00:00	7	2
-0.0	12.562
-5.0	12.526
-10.0	13.039
-15.0	13.258
-20.0	13.397
-25.0	13.238
-12000	13.238
2004-01-15 00:00:00	7	2
-0.0	8.965
-5.0	9.067
-10.0	9.310
-15.0	9.425
-20.0	9.664
-25.0	9.988
-12000	9.988
2004-02-15 00:00:00	7	2
-0.0	8.366
-5.0	8.621
-10.0	8.961
-15.0	9.070
-20.0	9.147
-25.0	9.548
-12000	9.548
2004-03-15 00:00:00	7	2
-0.0	9.509
-5.0	9.308
-10.0	9.216
-15.0	9.197
-20.0	9.205
-25.0	9.477
-12000	9.477
2004-04-15 00:00:00	7	2
-0.0	13.944
-5.0	13.113
-10.0	11.864
-15.0	11.321
-20.0	10.936
-25.0	10.886
-12000	10.886
2004-05-15 00:00:00	7	2
-0.0	17.678
-5.0	16.338
-10.0	14.528
-15.0	13.031
-20.0	11.911
-25.0	11.599
-12000	11.599
2004-06-15 00:00:00	7	2
-0.0	22.456
-5.0	20.881
-10.0	17.850
-15.0	14.875
-20.0	13.061
-25.0	12.096
-12000	12.096
2004-07-15 00:00:00	7	2
-0.0	24.703
-5.0	23.487
-10.0	20.951
-15.0	18.342
-20.0	16.223
-25.0	14.664
-12000	14.664
2004-08-15 00:00:00	7	2
-0.0	25.273
-5.0	24.654
-10.0	22.914
-15.0	20.520
-20.0	18.160
-25.0	16.236
-12000	16.236
2004-09-15 00:00:00	7	2
-0.0	22.317
-5.0	22.127
-10.0	21.990
-15.0	20.671
-20.0	18.061
-25.0	16.683
-12000	16.683
2004-10-15 00:00:00	7	2
-0.0	19.357
-5.0	19.626
-10.0	19.674
-15.0	19.931
-20.0	19.123
-25.0	18.341
-12000	18.341
2004-11-15 00:00:00	7	2
-0.0	15.206
-5.0	15.691
-10.0	16.086
-15.0	16.217
-20.0	16.076
-25.0	16.151
-12000	16.151
2004-12-15 00:00:00	7	2
-0.0	12.562
-5.0	12.526
-10.0	13.039
-15.0	13.258
-20.0	13.397
-25.0	13.238
-12000	13.238
2005-01-15 00:00:00	7	2
-0.0	8.965
-5.0	9.067
-10.0	9.310
-15.0	9.425
-20.0	9.664
-25.0	9.988
-12000	9.988
2005-02-15 00:00:00	7	2
-0.0	8.366
-5.0	8.621
-10.0	8.961
-15.0	9.070
-20.0	9.147
-25.0	9.548
-12000	9.548
2005-03-15 00:00:00	7	2
-0.0	9.509
-5.0	9.308
-10.0	9.216
-15.0	9.197
-20.0	9.205
-25.0	9.477
-12000	9.477
2005-04-15 00:00:00	7	2
-0.0	13.944
-5.0	13.113
-10.0	11.864
-15.0	11.321
-20.0	10.936
-25.0	10.886
-12000	10.886
2005-05-15 00:00:00	7	2
-0.0	17.678
-5.0	16.338
-10.0	14.528
-15.0	13.031
-20.0	11.911
-25.0	11.599
-12000	11.599
2005-06-15 00:00:00	7	2
-0.0	22.456
-5.0	20.881
-10.0	17.850
-15.0	14.875
-20.0	13.061
-25.0	12.096
-12000	12.096
2005-07-15 00:00:00	7	2
-0.0	24.703
-5.0	23.487
-10.0	20.951
-15.0	18.342
-20.0	16.223
-25.0	14.664
-12000	14.664
2005-08-15 00:00:00	7	2
-0.0	25.273
-5.0	24.654
-10.0	22.914
-15.0	20.520
-20.0	18.160
-25.0	16.236
-12000	16.236
2005-09-15 00:00:00	7	2
-0.0	22.317
-5.0	22.127
-10.0	21.990
-15.0	20.671
-20.0	18.061
-25.0	16.683
-12000	16.683
